序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1. 您是否了解云南的“三农”政策？ ,2. 您认为抖音短视频对云南农产品的宣传效果如何？ ,3. 您是否曾通过抖音平台购买过云南的农产品？ ,4. 您认为抖音直播带货对云南乡村经济的促进作用如何？ ,5. 您认为云南的农产品在抖音上的展示方式是否吸引消费者？ ,6. 您最关注云南农产品的哪些方面？ ,7. 您认为云南的“三农”政策对电商发展的支持力度如何？ ,8. 您是否参与过云南乡村的电商培训活动？ ,9. 您认为云南乡村电商发展的主要障碍是什么？ ,10. 您对云南三农的抖音短视频内容的质量有何看法？ ,11. 您认为云南农民在使用抖音进行产品推广时遇到的最大困难是什么？ ,12. 您希望云南的“三农”政策在电商领域有哪些改进？ ,13. 您认为未来云南的电商发展趋势如何？ ,14. 您对云南农产品在抖音上的推广方式有何建议？ ,15. 您还有其他想要补充的意见或建议吗？ ,"1. 您是否了解云南的""三农""政策？ ","7. 您认为云南的""三农""政策对电商发展的支持力度如何？ ","12. 您希望云南的""三农""政策在电商领域有哪些改进？ "
63,2025/2/15 17:13,392秒,微信,N/A,183.228.148.26(重庆-重庆),,C 较差,B 否,B 一定程度上,A 非常吸引,D 品牌,,B 否,A 物流问题┋C 市场认知度低,B 一般,B 缺乏资金┋C 缺乏市场信息,,产业链逐步完善,加强产品质量展示,建议加强培训,B 否,C 较小,完善物流体系，提升配送效率
64,2025/2/16 01:16,307秒,微信,N/A,223.104.195.58(山东-泰安),,A 非常好,B 否,B 一定程度上,A 非常吸引,B 质量,,A 是,A 物流问题┋B 技术支持不足,B 一般,B 缺乏资金┋C 缺乏市场信息,,跨境电商机会增多,建立信任机制,看好未来发展,B 否,A 很大,完善物流体系，提升配送效率
65,2025/2/15 13:11,492秒,微信,N/A,43.250.244.162(广西-南宁),,A 非常好,B 否,A 非常大,A 非常吸引,D 品牌,,B 否,B 技术支持不足,C 较低,C 缺乏市场信息,,需要进一步完善,加强产品质量展示,无建议,B 否,C 较小,提供更多资金支持
66,2025/2/15 17:45,242秒,微信,N/A,39.144.220.33(重庆-重庆),,C 较差,B 否,A 非常大,B 一般,A 价格┋B 质量┋C 产地,,A 是,B 技术支持不足,B 一般,B 缺乏资金┋C 缺乏市场信息,,逐步规范化发展,优化视频内容,保持特色发展,B 否,A 很大,增加培训支持，提高农民技能
67,2025/2/15 23:39,486秒,微信,N/A,39.144.69.212(海南-海口),,A 非常好,A 是,C 没有作用,B 一般,A 价格┋B 质量┋C 产地┋D 品牌,,A 是,B 技术支持不足,A 很高,C 缺乏市场信息,,品牌价值提升,加强品牌营销,看好未来发展,A 是,A 很大,加强品牌建设，提升产品价值
68,2025/2/15 20:49,422秒,微信,N/A,111.60.187.159(湖北-荆州),,A 非常好,B 否,C 没有作用,A 非常吸引,D 品牌,,B 否,A 物流问题┋B 技术支持不足,B 一般,A 缺乏技能┋C 缺乏市场信息,,产业链逐步完善,优化视频内容,看好未来发展,B 否,A 很大,优化销售渠道
69,2025/2/16 10:07,264秒,微信,N/A,182.102.182.185(江西-南昌),,B 一般,A 是,B 一定程度上,B 一般,A 价格┋B 质量┋C 产地,,A 是,A 物流问题┋B 技术支持不足,B 一般,A 缺乏技能┋B 缺乏资金,,跨境电商机会增多,突出地方特色,建议加强培训,A 是,C 较小,增加培训支持，提高农民技能
70,2025/2/15 19:08,380秒,微信,N/A,182.102.182.185(江西-南昌),,B 一般,B 否,C 没有作用,B 一般,A 价格┋B 质量┋C 产地┋D 品牌,,A 是,A 物流问题┋C 市场认知度低,B 一般,B 缺乏资金,,品牌价值提升,提升包装设计,优化运营模式,B 否,A 很大,增加培训支持，提高农民技能
71,2025/2/15 15:23,342秒,微信,N/A,222.219.208.72(云南-文山),,C 较差,A 是,C 没有作用,C 不吸引,A 价格┋B 质量,,A 是,B 技术支持不足┋C 市场认知度低,A 很高,D 缺乏平台支持,,数字化转型加速,增加直播互动,看好未来发展,A 是,A 很大,加强电商平台合作
72,2025/2/15 15:16,426秒,微信,N/A,182.102.182.185(江西-南昌),,C 较差,B 否,A 非常大,B 一般,A 价格┋B 质量┋C 产地,,B 否,A 物流问题┋C 市场认知度低,C 较低,A 缺乏技能┋C 缺乏市场信息,,逐步规范化发展,创新营销方式,继续努力创新,A 是,A 很大,改善农产品质量管理
73,2025/2/16 12:31,376秒,微信,N/A,125.43.77.248(河南-洛阳),,C 较差,B 否,B 一定程度上,B 一般,A 价格┋B 质量,,A 是,D 政策支持不足,C 较低,B 缺乏资金┋C 缺乏市场信息,,逐步规范化发展,加强产品质量展示,提升服务水平,A 是,B 一般,加大推广力度，提高知名度
74,2025/2/16 03:13,442秒,微信,N/A,182.102.182.185(江西-南昌),,B 一般,B 否,C 没有作用,A 非常吸引,A 价格,,B 否,C 市场认知度低,B 一般,C 缺乏市场信息,,发展前景广阔,创新营销方式,保持特色发展,B 否,B 一般,加强电商平台合作
75,2025/2/16 06:36,116秒,微信,N/A,39.144.69.212(海南-海口),,A 非常好,A 是,C 没有作用,C 不吸引,B 质量,,B 否,A 物流问题┋B 技术支持不足,C 较低,B 缺乏资金,,数字化转型加速,创新营销方式,优化运营模式,B 否,A 很大,增加培训支持，提高农民技能
76,2025/2/16 06:15,460秒,微信,N/A,125.43.77.248(河南-洛阳),,B 一般,B 否,A 非常大,A 非常吸引,C 产地,,B 否,D 政策支持不足,C 较低,A 缺乏技能,,发展前景广阔,注重用户体验,建议加强培训,B 否,B 一般,改善农产品质量管理
77,2025/2/15 18:03,34秒,微信,N/A,223.149.137.53(湖南-怀化),,C 较差,B 否,B 一定程度上,C 不吸引,A 价格┋B 质量┋C 产地┋D 品牌,,A 是,A 物流问题,C 较低,A 缺乏技能┋B 缺乏资金,,发展前景广阔,创新营销方式,优化运营模式,A 是,B 一般,加大推广力度，提高知名度
78,2025/2/15 19:06,229秒,微信,N/A,43.250.244.162(广西-南宁),,A 非常好,A 是,B 一定程度上,B 一般,A 价格┋B 质量┋C 产地,,B 否,A 物流问题┋C 市场认知度低,A 很高,A 缺乏技能┋B 缺乏资金,,创新模式不断涌现,突出地方特色,继续努力创新,A 是,B 一般,提升农产品包装设计
79,2025/2/15 19:15,383秒,微信,N/A,39.144.69.212(海南-海口),,B 一般,A 是,C 没有作用,C 不吸引,A 价格┋B 质量┋C 产地┋D 品牌,,A 是,C 市场认知度低,B 一般,A 缺乏技能,,品牌价值提升,建立信任机制,继续努力创新,B 否,C 较小,提供更多资金支持
80,2025/2/16 09:43,98秒,微信,N/A,39.144.220.33(重庆-重庆),,A 非常好,B 否,A 非常大,A 非常吸引,B 质量,,B 否,D 政策支持不足,A 很高,A 缺乏技能┋B 缺乏资金,,创新模式不断涌现,建立信任机制,保持特色发展,A 是,C 较小,改善农产品质量管理
81,2025/2/15 13:31,254秒,微信,N/A,223.104.195.58(山东-泰安),,B 一般,B 否,A 非常大,C 不吸引,A 价格┋B 质量┋C 产地,,A 是,A 物流问题,B 一般,A 缺乏技能┋B 缺乏资金,,跨境电商机会增多,加强产品质量展示,重视质量管理,A 是,A 很大,改善农产品质量管理
82,2025/2/15 16:13,162秒,微信,N/A,39.144.220.33(重庆-重庆),,C 较差,B 否,C 没有作用,B 一般,C 产地,,A 是,C 市场认知度低,B 一般,B 缺乏资金,,跨境电商机会增多,优化视频内容,继续努力创新,A 是,C 较小,增加培训支持，提高农民技能
83,2025/2/16 06:27,450秒,微信,N/A,183.228.148.26(重庆-重庆),,C 较差,B 否,C 没有作用,A 非常吸引,B 质量,,B 否,B 技术支持不足,B 一般,B 缺乏资金┋C 缺乏市场信息,,跨境电商机会增多,加强品牌营销,建议加强培训,A 是,C 较小,加大推广力度，提高知名度
84,2025/2/16 00:21,349秒,微信,N/A,183.138.163.182(浙江-温州),,B 一般,B 否,B 一定程度上,A 非常吸引,C 产地,,A 是,A 物流问题,B 一般,A 缺乏技能,,跨境电商机会增多,注重用户体验,提升服务水平,B 否,C 较小,增加培训支持，提高农民技能
85,2025/2/16 06:24,404秒,微信,N/A,222.219.208.72(云南-文山),,B 一般,A 是,B 一定程度上,C 不吸引,C 产地,,A 是,D 政策支持不足,B 一般,B 缺乏资金┋C 缺乏市场信息,,持续稳定增长,提升包装设计,重视质量管理,A 是,B 一般,加强品牌建设，提升产品价值
86,2025/2/15 21:05,429秒,微信,N/A,183.228.148.26(重庆-重庆),,A 非常好,A 是,B 一定程度上,C 不吸引,A 价格┋B 质量┋C 产地,,B 否,D 政策支持不足,C 较低,A 缺乏技能┋B 缺乏资金,,品牌价值提升,加强品牌营销,看好未来发展,B 否,B 一般,加强市场调研分析
87,2025/2/16 04:52,288秒,微信,N/A,222.219.208.72(云南-文山),,A 非常好,A 是,C 没有作用,A 非常吸引,A 价格┋B 质量┋C 产地,,B 否,B 技术支持不足,C 较低,C 缺乏市场信息,,需要进一步完善,注重用户体验,重视质量管理,A 是,A 很大,加大推广力度，提高知名度
88,2025/2/15 19:02,435秒,微信,N/A,125.43.77.248(河南-洛阳),,B 一般,A 是,C 没有作用,A 非常吸引,C 产地,,B 否,B 技术支持不足┋C 市场认知度低,B 一般,B 缺乏资金,,持续稳定增长,突出地方特色,期待更多支持,A 是,B 一般,改善农产品质量管理
89,2025/2/16 10:52,277秒,微信,N/A,39.144.220.33(重庆-重庆),,B 一般,A 是,C 没有作用,A 非常吸引,A 价格┋B 质量┋C 产地,,A 是,B 技术支持不足,C 较低,C 缺乏市场信息,,逐步规范化发展,注重用户体验,重视质量管理,A 是,B 一般,提升农产品包装设计
90,2025/2/16 10:51,193秒,微信,N/A,39.144.69.212(海南-海口),,B 一般,B 否,C 没有作用,C 不吸引,A 价格┋B 质量,,B 否,A 物流问题┋B 技术支持不足,C 较低,B 缺乏资金,,持续稳定增长,开展特色活动,建议加强培训,A 是,C 较小,提升农产品包装设计
91,2025/2/15 17:35,419秒,微信,N/A,183.228.148.26(重庆-重庆),,C 较差,A 是,C 没有作用,C 不吸引,D 品牌,,A 是,A 物流问题┋B 技术支持不足,B 一般,C 缺乏市场信息,,发展前景广阔,突出地方特色,提升服务水平,B 否,C 较小,增加培训支持，提高农民技能
92,2025/2/15 18:39,33秒,微信,N/A,111.60.187.159(湖北-荆州),,C 较差,B 否,C 没有作用,C 不吸引,A 价格┋B 质量┋C 产地┋D 品牌,,A 是,B 技术支持不足┋C 市场认知度低,C 较低,A 缺乏技能,,跨境电商机会增多,加强产品质量展示,看好未来发展,B 否,A 很大,加强电商平台合作
93,2025/2/16 06:38,495秒,微信,N/A,43.250.244.162(广西-南宁),,C 较差,A 是,A 非常大,C 不吸引,A 价格┋B 质量┋C 产地┋D 品牌,,A 是,A 物流问题,C 较低,A 缺乏技能,,逐步规范化发展,创新营销方式,看好未来发展,A 是,B 一般,优化销售渠道
94,2025/2/15 19:13,391秒,微信,N/A,39.144.220.33(重庆-重庆),,B 一般,B 否,A 非常大,C 不吸引,A 价格,,B 否,A 物流问题┋B 技术支持不足,C 较低,A 缺乏技能┋C 缺乏市场信息,,产业链逐步完善,突出地方特色,优化运营模式,A 是,A 很大,加大推广力度，提高知名度
95,2025/2/16 04:54,392秒,微信,N/A,39.144.69.212(海南-海口),,B 一般,A 是,A 非常大,C 不吸引,C 产地,,B 否,A 物流问题,A 很高,B 缺乏资金┋C 缺乏市场信息,,数字化转型加速,增加直播互动,保持特色发展,A 是,B 一般,改善农产品质量管理
96,2025/2/16 02:38,349秒,微信,N/A,39.144.69.212(海南-海口),,B 一般,B 否,B 一定程度上,A 非常吸引,A 价格┋B 质量,,B 否,B 技术支持不足,B 一般,A 缺乏技能┋B 缺乏资金,,市场潜力巨大,加强产品质量展示,保持特色发展,A 是,A 很大,加强品牌建设，提升产品价值
97,2025/2/16 07:27,276秒,微信,N/A,39.144.69.212(海南-海口),,A 非常好,A 是,B 一定程度上,C 不吸引,B 质量,,B 否,B 技术支持不足,C 较低,B 缺乏资金,,创新模式不断涌现,创新营销方式,优化运营模式,B 否,C 较小,改善农产品质量管理
98,2025/2/15 17:01,149秒,微信,N/A,43.250.244.162(广西-南宁),,C 较差,A 是,A 非常大,B 一般,B 质量,,A 是,C 市场认知度低,B 一般,B 缺乏资金,,品牌价值提升,创新营销方式,建议加强培训,A 是,B 一般,提升农产品包装设计
99,2025/2/16 02:51,402秒,微信,N/A,183.138.163.182(浙江-温州),,C 较差,B 否,A 非常大,A 非常吸引,B 质量,,B 否,A 物流问题┋B 技术支持不足,C 较低,C 缺乏市场信息,,逐步规范化发展,开展特色活动,保持特色发展,A 是,B 一般,提升农产品包装设计
100,2025/2/15 17:54,380秒,微信,N/A,222.219.208.72(云南-文山),,B 一般,A 是,A 非常大,C 不吸引,D 品牌,,A 是,B 技术支持不足┋C 市场认知度低,A 很高,B 缺乏资金,,跨境电商机会增多,注重用户体验,期待更多支持,A 是,A 很大,完善物流体系，提升配送效率
101,2025/2/16 03:28,353秒,微信,N/A,39.144.220.33(重庆-重庆),,C 较差,B 否,C 没有作用,C 不吸引,A 价格┋B 质量,,B 否,A 物流问题┋C 市场认知度低,A 很高,B 缺乏资金,,需要进一步完善,建立信任机制,保持特色发展,B 否,B 一般,加强电商平台合作
102,2025/2/16 11:41,436秒,微信,N/A,182.102.182.185(江西-南昌),,C 较差,B 否,C 没有作用,B 一般,C 产地,,A 是,A 物流问题,C 较低,D 缺乏平台支持,,创新模式不断涌现,优化视频内容,重视质量管理,B 否,B 一般,加强市场调研分析
103,2025/2/16 01:09,78秒,微信,N/A,222.219.208.72(云南-文山),,A 非常好,A 是,C 没有作用,A 非常吸引,A 价格,,A 是,A 物流问题,A 很高,B 缺乏资金┋C 缺乏市场信息,,市场潜力巨大,增加直播互动,无建议,A 是,B 一般,加强电商平台合作
104,2025/2/16 04:02,391秒,微信,N/A,183.138.163.182(浙江-温州),,A 非常好,B 否,C 没有作用,A 非常吸引,B 质量,,B 否,B 技术支持不足┋C 市场认知度低,A 很高,C 缺乏市场信息,,创新模式不断涌现,创新营销方式,无建议,B 否,C 较小,增加培训支持，提高农民技能
105,2025/2/15 19:58,418秒,微信,N/A,223.104.195.58(山东-泰安),,A 非常好,A 是,B 一定程度上,A 非常吸引,A 价格┋B 质量┋C 产地┋D 品牌,,A 是,A 物流问题┋C 市场认知度低,A 很高,B 缺乏资金┋C 缺乏市场信息,,产业链逐步完善,加强产品质量展示,看好未来发展,B 否,A 很大,优化销售渠道
106,2025/2/16 02:09,226秒,微信,N/A,125.43.77.248(河南-洛阳),,A 非常好,B 否,B 一定程度上,A 非常吸引,A 价格┋B 质量,,B 否,A 物流问题┋B 技术支持不足,C 较低,A 缺乏技能,,品牌价值提升,突出地方特色,加强市场调研,A 是,B 一般,加强市场调研分析
107,2025/2/16 07:23,269秒,微信,N/A,222.219.208.72(云南-文山),,B 一般,A 是,B 一定程度上,A 非常吸引,B 质量,,B 否,B 技术支持不足┋C 市场认知度低,B 一般,A 缺乏技能┋B 缺乏资金,,需要进一步完善,开展特色活动,期待更多支持,A 是,C 较小,加大推广力度，提高知名度
108,2025/2/16 00:42,437秒,微信,N/A,183.228.148.26(重庆-重庆),,B 一般,A 是,A 非常大,A 非常吸引,A 价格┋B 质量┋C 产地,,A 是,C 市场认知度低,C 较低,A 缺乏技能,,发展前景广阔,优化视频内容,继续努力创新,B 否,A 很大,改善农产品质量管理
109,2025/2/15 20:18,79秒,微信,N/A,183.138.163.182(浙江-温州),,B 一般,A 是,B 一定程度上,C 不吸引,A 价格┋B 质量,,B 否,C 市场认知度低,A 很高,C 缺乏市场信息,,发展前景广阔,加强产品质量展示,加强市场调研,B 否,A 很大,加强市场调研分析
110,2025/2/15 23:33,85秒,微信,N/A,183.138.163.182(浙江-温州),,C 较差,A 是,C 没有作用,B 一般,D 品牌,,A 是,B 技术支持不足┋C 市场认知度低,B 一般,B 缺乏资金┋C 缺乏市场信息,,市场潜力巨大,开展特色活动,加强市场调研,A 是,B 一般,加强市场调研分析
111,2025/2/16 06:51,199秒,微信,N/A,111.60.187.159(湖北-荆州),,A 非常好,B 否,C 没有作用,A 非常吸引,A 价格┋B 质量┋C 产地┋D 品牌,,B 否,B 技术支持不足┋C 市场认知度低,C 较低,B 缺乏资金┋C 缺乏市场信息,,跨境电商机会增多,注重用户体验,建议加强培训,B 否,A 很大,加强品牌建设，提升产品价值
112,2025/2/15 17:08,192秒,微信,N/A,223.104.195.58(山东-泰安),,A 非常好,A 是,B 一定程度上,A 非常吸引,A 价格┋B 质量,,A 是,C 市场认知度低,A 很高,A 缺乏技能,,需要进一步完善,注重用户体验,优化运营模式,B 否,A 很大,优化销售渠道
113,2025/2/16 04:07,97秒,微信,N/A,223.149.137.53(湖南-怀化),,C 较差,B 否,C 没有作用,B 一般,B 质量,,B 否,B 技术支持不足,C 较低,B 缺乏资金,,产业链逐步完善,增加直播互动,期待更多支持,A 是,A 很大,提升农产品包装设计
114,2025/2/16 10:21,144秒,微信,N/A,223.104.195.58(山东-泰安),,B 一般,A 是,B 一定程度上,B 一般,A 价格┋B 质量┋C 产地┋D 品牌,,B 否,A 物流问题┋C 市场认知度低,C 较低,A 缺乏技能┋C 缺乏市场信息,,跨境电商机会增多,建立信任机制,提升服务水平,A 是,B 一般,提升农产品包装设计
115,2025/2/16 01:34,155秒,微信,N/A,183.138.163.182(浙江-温州),,A 非常好,B 否,A 非常大,B 一般,A 价格┋B 质量,,B 否,B 技术支持不足┋C 市场认知度低,A 很高,B 缺乏资金┋C 缺乏市场信息,,持续稳定增长,创新营销方式,提升服务水平,A 是,B 一般,提升农产品包装设计
116,2025/2/16 08:58,187秒,微信,N/A,39.144.220.33(重庆-重庆),,A 非常好,B 否,A 非常大,C 不吸引,A 价格┋B 质量┋C 产地,,A 是,C 市场认知度低,B 一般,B 缺乏资金,,品牌价值提升,增加直播互动,优化运营模式,A 是,B 一般,改善农产品质量管理
117,2025/2/16 00:57,386秒,微信,N/A,183.138.163.182(浙江-温州),,B 一般,A 是,B 一定程度上,B 一般,B 质量,,B 否,B 技术支持不足,C 较低,D 缺乏平台支持,,持续稳定增长,优化视频内容,看好未来发展,A 是,A 很大,提供更多资金支持
